Heliostat No. 23520: x=683.578100m | y=-623.113328m
Heliostat No. 23580: x=945.901242m | y=-50.610200m
Heliostat No. 23640: x=792.818752m | y=558.553525m
Heliostat No. 23700: x=279.800319m | y=924.612026m
Heliostat No. 23760: x=-348.981570m | y=881.949698m
Heliostat No. 23820: x=-807.852372m | y=449.949321m
Heliostat No. 23880: x=-888.333266m | y=-175.118326m
Heliostat No. 23940: x=-553.859359m | y=-709.266193m
Heliostat No. 24000: x=43.607783m | y=-909.814821m
Heliostat No. 24060: x=632.620849m | y=-685.648931m
Heliostat No. 24120: x=945.573470m | y=-138.613836m
Heliostat No. 24180: x=850.716163m | y=486.637107m
Heliostat No. 24240: x=377.033383m | y=903.059507m
Heliostat No. 24300: x=-253.125414m | y=929.191492m
Heliostat No. 24360: x=-759.659694m | y=553.417605m
Heliostat No. 24420: x=-917.419027m | y=-57.233673m
Heliostat No. 24480: x=-656.280655m | y=-631.332743m
Heliostat No. 24540: x=-92.318491m | y=-913.697167m
Heliostat No. 24600: x=523.790802m | y=-778.818223m
Heliostat No. 24660: x=918.191581m | y=-286.648520m
Heliostat No. 24720: x=924.878541m | y=350.680228m
Heliostat No. 24780: x=526.392574m | y=840.140777m
Heliostat No. 24840: x=-90.181851m | y=975.043231m
Heliostat No. 24900: x=-656.656149m | y=696.709681m
Heliostat No. 24960: x=-926.633556m | y=126.205610m
Heliostat No. 25020: x=-782.683222m | y=-488.319406m
Heliostat No. 25080: x=-287.418572m | y=-879.568204m
Heliostat No. 25140: x=343.737370m | y=-877.361064m
Heliostat No. 25200: x=836.253561m | y=-482.658015m
Heliostat No. 25260: x=985.822385m | y=142.661993m
Heliostat No. 25320: x=708.720969m | y=710.236920m
Heliostat No. 25380: x=140.533725m | y=986.080620m
Heliostat No. 25440: x=-476.840588m | y=852.756017m
Heliostat No. 25500: x=-880.562417m | y=367.024428m
Heliostat No. 25560: x=-898.752137m | y=-264.319873m
Heliostat No. 25620: x=-523.665699m | y=-772.489781m
Heliostat No. 25680: x=85.008441m | y=-941.138182m
Heliostat No. 25740: x=668.134722m | y=-698.465085m
Heliostat No. 25800: x=977.454272m | y=-147.785589m
Heliostat No. 25860: x=892.429583m | y=478.879851m
Heliostat No. 25920: x=434.321120m | y=914.324024m
Heliostat No. 25980: x=-194.391011m | y=979.100930m
Heliostat No. 26040: x=-731.661705m | y=646.211770m
Heliostat No. 26100: x=-953.558341m | y=54.403630m
Heliostat No. 26160: x=-767.595145m | y=-549.659844m
Heliostat No. 26220: x=-251.280952m | y=-914.207025m
Heliostat No. 26280: x=380.186213m | y=-887.295870m
Heliostat No. 26340: x=863.612958m | y=-480.142858m
Heliostat No. 26400: x=1007.973655m | y=142.740364m
Heliostat No. 26460: x=736.104903m | y=713.788660m
Heliostat No. 26520: x=174.012499m | y=1003.721245m
Heliostat No. 26580: x=-448.896461m | y=894.207768m
Heliostat No. 26640: x=-878.393787m | y=429.944027m
Heliostat No. 26700: x=-939.188490m | y=-199.589751m
Heliostat No. 26760: x=-606.468392m | y=-737.461586m
Heliostat No. 26820: x=-16.026738m | y=-964.149537m
Heliostat No. 26880: x=591.159183m | y=-787.135321m
Heliostat No. 26940: x=967.278231m | y=-278.663852m
Heliostat No. 27000: x=967.664805m | y=361.725506m
Heliostat No. 27060: x=577.285444m | y=859.854351m
Heliostat No. 27120: x=-33.858168m | y=1024.268090m
Heliostat No. 27180: x=-621.474490m | y=789.245859m
Heliostat No. 27240: x=-950.676512m | y=248.732751m
Heliostat No. 27300: x=-889.872791m | y=-381.212723m
Heliostat No. 27360: x=-463.368310m | y=-848.783379m
Heliostat No. 27420: x=158.350921m | y=-967.077886m
Heliostat No. 27480: x=726.765983m | y=-688.810553m
Heliostat No. 27540: x=1014.665157m | y=-125.212773m
Heliostat No. 27600: x=918.897235m | y=499.438334m
Heliostat No. 27660: x=461.900878m | y=937.831651m
Heliostat No. 27720: x=-166.177152m | y=1018.778294m
Heliostat No. 27780: x=-719.394021m | y=710.581171m
Heliostat No. 27840: x=-981.121033m | y=133.924132m
Heliostat No. 27900: x=-848.871110m | y=-485.385426m
Heliostat No. 27960: x=-374.430684m | y=-904.838227m
Heliostat No. 28020: x=256.418834m | y=-960.184918m
Heliostat No. 28080: x=796.649351m | y=-629.752839m
Heliostat No. 28140: x=1034.717367m | y=-42.932602m
Heliostat No. 28200: x=888.030179m | y=574.279447m
Heliostat No. 28260: x=398.965088m | y=977.196993m
Heliostat No. 28320: x=-233.581128m | y=1014.780178m
Heliostat No. 28380: x=-766.916181m | y=672.609267m
Heliostat No. 28440: x=-996.412644m | y=81.966748m
Heliostat No. 28500: x=-834.018419m | y=-530.532498m
Heliostat No. 28560: x=-342.040140m | y=-929.887709m
Heliostat No. 28620: x=290.762334m | y=-962.876198m
Heliostat No. 28680: x=821.598394m | y=-616.841100m
Heliostat No. 28740: x=1046.799415m | y=-24.547498m
Heliostat No. 28800: x=888.948704m | y=593.109704m
Heliostat No. 28860: x=394.941232m | y=990.556568m
Heliostat No. 28920: x=-238.165783m | y=1024.949884m
Heliostat No. 28980: x=-772.321298m | y=683.357614m
Heliostat No. 29040: x=-1006.680472m | y=94.219965m
Heliostat No. 29100: x=-853.123218m | y=-520.944698m
Heliostat No. 29160: x=-369.387745m | y=-930.831736m
Heliostat No. 29220: x=262.639268m | y=-981.321806m
Heliostat No. 29280: x=805.312864m | y=-653.430420m
Heliostat No. 29340: x=1054.585365m | y=-70.446190m
Heliostat No. 29400: x=924.204706m | y=557.405763m
Heliostat No. 29460: x=450.531800m | y=979.435795m
Heliostat No. 29520: x=-179.974574m | y=1049.700163m
Heliostat No. 29580: x=-734.935776m | y=742.302319m
